"Insurance","Застраховка на пратката :"
"Pick from Speedy Office","Вземи от офис на Спиди?"
"City","Град:"
"Post Code","Пощ.код "
"Quarter","Квартал"
"Street","Ул. "
"Street Number","№ " 
"Blok","Бл. "
"Message","Забележка: "
"Recalculate","Запиши метода на доставка"
"Speedy Payment Method","Спийди - Наложен платеж "
"Speedy Payment method tax","Такса за наложен платеж: "
"Leva","лв."
"Label already created","Тази пратка има създадена товарителница"
"Label created successfully","Товарителницата беше създадена успешно"
"Cancel Bill Of Lading", "Откажи товарителница"
"Courer has been requested","Заявен куриер"
"Request a courier","Заяви куриер"
"View Bill Of Lading","Преглед на товарителницата"
"View order","Преглед на поръчката"
"View Bill of lading number","Номер на товарителницата"
"Time and creation date","Час и дата на създаване"
"Taking time courier","Дата за вземане от куриер"
"Speedy Bill of lading","Спиди товарителници"
"Add bill of lading","Добави товарителница"
"Create Bill of lading","Създай товарителница"
"Print shipping labels","Разпечатай етикети"
"Print Bill of lading","Разпечатай товарителница"
"Valid Speedy Address","Валиден Спиди адрес"
"Invalid Speedy Address","Невалиден Спиди адрес"
"Including VAT","с ДДС"
"An error has occured while processing your request","Възникна грешка при изпълнението на Вашата заявка"
"An error has occured while requesting courier for bill of lading:","Грешки при заявка за куриер за пратка с товарителница номер: "
"Error details","Грешкa"
"Bill of lading","Товарителница "
"was successfully requested","  е успешно заявена."
"There are not bols, that match your request","Няма товарителници, които да отговарят на направената заявка"
"An error has occured trying to cancel bol","Възникна грешка при отказ на товарителница с номер: "
"Bol with ID:","Товарителница с номер: ",]
"cannot be cancelled","не може да бъде отказана"
"was successfully cancelled"," беше отказана успешно",
"Please enter a valid address","Моля,въведете валиден адрес"
"Choose Speedy office","До офис на СПИДИ: "
"Entrance","Вх. "
"Floor","Ет. "
"Apartment","Ап. "
"Address note","Забележка към адреса: "
"Hour","Час"
"Minutes","Минути:"
"The following products has no weight assiged","Следните стоки с без зададено тегло"
"speedy quarter name","Квартал"
"speedy office chooser","До поискване"
"speedy street name","Улица"
"speedy street number","№ "
"speedy block number","Бл. "
"speedy entrance","Вх. "
"speedy address note","Забележка към адреса: "
"speedy apartment","Ап. "
"speedy floor","Ет "
"speedy office txtBox","Офис "
"fixed hour extra charge","Надбавка \"Фиксиран час\" "
"choose fixed hour","Избери фиксиран час ( 10:30 - 17:30 ) "
"Create Shipping Label...","Създай товарителница"
"Server Address","Адрес на сървъра"
"Username","Потребителско име"
"Bol creation date error","Първата възможна дата за вземане на пратката е: "
"Do you want to continue","Желаете ли да създадете товарителницата?"
"No matching bill of lading","Няма асоциирана поръчка!"
"An error occured, while trying to create PDF","Възникна грешка при печата на товарителница"
"Are you sure, that you want to make a couriter request","Заявка за куриер"
"The feature is not supported yet","Функционалността все още не се поддръжа."
"vat_included","Вкл. данък"
